Player,rate_per_min
AJ Green,0.020656282453765256
AJ Johnson,0.03260722182547703
Aaron Gordon,0.02261163862029943
Aaron Holiday,0.033130799654959
Aaron Nesmith,0.03076395460838091
Aaron Wiggins,0.033303219383487036
Ace Bailey,0.027071069611333015
Adem Bona,0.028922060735864924
Ajay Mitchell,0.040298200288225255
Al Horford,0.0219108073787953
Alex Caruso,0.07937954335360992
Alexandre Sarr,0.025685214099755823
Alperen Sengun,0.03276299253751324
Amen Thompson,0.04719532768151004
Amir Coffey,0.021665413522928872
Andre Drummond,0.04639495586821306
Andre Jackson Jr.,0.041659542230440806
Andrew Nembhard,0.03320812898391672
Andrew Wiggins,0.03114546918151398
Anfernee Simons,0.02222625462243045
Anthony Black,0.04485803102813066
Anthony Davis,0.03415645950590407
Anthony Edwards,0.034683992403475174
Anthony Gill,0.02823541311923414
Ariel Hukporti,0.022980182229760938
Asa Newell,0.01837375986492912
Ausar Thompson,0.0625608335254412
Austin Reaves,0.028773446069336288
Ayo Dosunmu,0.03357318659241003
Bam Adebayo,0.03418528452960377
Baylor Scheierman,0.03014732072997968
Ben Saraf,0.03386640668008062
Ben Sheppard,0.033337250827816814
Bennedict Mathurin,0.025919624789083835
Bilal Coulibaly,0.034428647809731594
Bismack Biyombo,0.020350997259203675
Blake Wesley,0.044550113239284296
Bobby Portis,0.025523406901636958
Bogdan Bogdanovic,0.03183073862531073
Bones Hyland,0.04241832558842345
Bradley Beal,0.03320993158693123
Branden Carlson,0.024618242514250363
Brandin Podziemski,0.03585661374881492
Brandon Ingram,0.024753663956239316
Brandon Miller,0.026992586003881457
Brandon Williams,0.040493169533556396
Brice Sensabaugh,0.02904566617091854
Bronny James Jr.,0.045842914997028666
Brook Lopez,0.0180093245289708
Brooks Barnhizer,0.04491168397083016
Bruce Brown,0.03507127423421417
Bryce McGowens,2.925926612429429e-05
Bub Carrington,0.026407927406915516
Buddy Hield,0.03444677361191338
CJ McCollum,0.028106943525152372
Cade Cunningham,0.031161382956541094
Caleb Love,0.03237534183510112
Caleb Martin,0.034033013999670535
Cam Christie,0.04118310320824112
Cam Spencer,0.031215184722676967
Cam Thomas,0.021444021036300866
Cam Whitmore,0.034324224244333
