Player,rate_per_min
AJ Green,0.003645499210986734
AJ Johnson,0.010375788478139025
Aaron Gordon,0.015501228476172132
Aaron Holiday,0.007126734202740791
Aaron Nesmith,0.0165754085570528
Aaron Wiggins,0.011300361425190468
Ace Bailey,0.02703268024461689
Adem Bona,0.06202510916883369
Ajay Mitchell,0.008215442346387864
Al Horford,0.02744940537582102
Alex Caruso,0.02868276638989675
Alexandre Sarr,0.051371278180728244
Alperen Sengun,0.02207733380295302
Amen Thompson,0.03234007755277047
Amir Coffey,0.004971414741286583
Andre Drummond,0.030406582030204903
Andre Jackson Jr.,0.002102457956539702
Andrew Nembhard,0.0040943348114001795
Andrew Wiggins,0.021507595143673293
Anfernee Simons,0.002973108302086984
Anthony Black,0.022662839563331837
Anthony Davis,0.05570493838677276
Anthony Edwards,0.014306050445273088
Anthony Gill,0.003598587453285528
Ariel Hukporti,0.05125588738739336
Asa Newell,0.013102572922962184
Ausar Thompson,0.032027421738862555
Austin Reaves,0.008711237889694752
Ayo Dosunmu,0.01132064179714434
Bam Adebayo,0.020637304279753375
Baylor Scheierman,0.0033675656319908046
Ben Saraf,0.005435403421570583
Ben Sheppard,0.008998289705985119
Bennedict Mathurin,0.009440276892909105
Bilal Coulibaly,0.020488271580476895
Bismack Biyombo,0.050830698106229616
Blake Wesley,0.00845704728495575
Bobby Portis,0.01681811116766027
Bogdan Bogdanovic,0.007863865908891193
Bones Hyland,0.01181901700118489
Bradley Beal,0.01366573813964157
Branden Carlson,0.0626614731052164
Brandin Podziemski,0.006773006735664238
Brandon Ingram,0.0158575565575696
Brandon Miller,0.016464075593263898
Brandon Williams,0.00791252333234255
Brice Sensabaugh,0.008031683643406512
Bronny James Jr.,0.013576857374465075
Brook Lopez,0.053317416997171095
Brooks Barnhizer,0.024586719077362554
Bruce Brown,0.012432485047681642
Bryce McGowens,0.011043736639074042
Bub Carrington,0.007635886159385213
Buddy Hield,0.012399844689666109
CJ McCollum,0.011570122189801666
Cade Cunningham,0.016644782225630875
Caleb Love,0.014629991665285605
Caleb Martin,0.01547411166894969
Cam Christie,0.016476809212273784
Cam Spencer,0.009180154720104517
Cam Thomas,0.004978296740609724
Cam Whitmore,0.014532689834820617
Cameron Johnson,0.01179474860250367
Caris LeVert,0.012191271143988712
Carter Bryant,0.03896721728003165
Cason Wallace,0.018315289773824326
Cedric Coward,0.025606661237228667
Charles Bassey,0.03606147158599471
Chaz Lanier,0.005848335729130486
Chet Holmgren,0.06927888488302941
Chris Boucher,0.034343558717167356
Chris Manon,0.007582446877177224
Chris Paul,0.007745439674286712
Chris Youngblood,0.0073750539632267504
Christian Braun,0.01325423264834372
Christian Koloko,0.04770654070967849
Clint Capela,0.04257618887691965
Cody Williams,0.015487109722259475
Cole Anthony,0.021839512403214398
Collin Gillespie,0.009272474495732392
Collin Murray-Boyles,0.03729183029680863
Collin Sexton,0.004293640380003528
Cooper Flagg,0.027301893240829607
Corey Kispert,0.0071580239531469645
Craig Porter Jr.,0.01740460201209249
DAngelo Russell,0.013048708531347191
DaRon Holmes II,0.02778319832855029
Daeqwon Plowden,-0.0005229946751104954
Dalen Terry,0.01542518968796652
Dalton Knecht,0.006313656876409928
Daniel Gafford,0.07734902484616583
Daniss Jenkins,0.01239901296218226
Danny Wolf,0.03986712087697427
Dario Saric,0.007881190639685894
David Jones-Garcia,-0.002466224254278059
Davion Mitchell,0.007035811458385148
DayRon Sharpe,0.04417924648267926
DeAndre Hunter,0.009016643719365391
DeAndre Jordan,0.03410368171347122
DeMar DeRozan,0.012504648837466574
Dean Wade,0.017575056308039846
Deandre Ayton,0.02862218203642589
Deni Avdija,0.013366229322487233
Dennis Schroder,0.0068289320419980025
Dereck Lively II,0.059915180284742776
Derik Queen,0.028505669963608486
Derrick Jones Jr.,0.019874289452765922
Derrick White,0.026415602251918996
Desmond Bane,0.010569277444035002
Devin Booker,0.006375486666435791
Devin Carter,0.014774262999641801
Devin Vassell,0.013733618615954329
Dillon Brooks,0.006595898517567459
Domantas Sabonis,0.011289646633996394
Dominick Barlow,0.0396546989724316
Donovan Clingan,0.07147705205669744
Donovan Mitchell,0.00899852186322675
Donte DiVincenzo,0.011026804714634018
Doug McDermott,0.006934505395054454
Drake Powell,0.012011688313912436
Draymond Green,0.03339863176484336
Drew Eubanks,0.04850057435991486
Dru Smith,0.019624732376225522
Duncan Robinson,0.006151817795512197
Duop Reath,0.03028355469547409
Dwight Powell,0.025330895082458556
Dylan Cardwell,0.0316391207668291
Dylan Harper,0.013413536563130662
Dyson Daniels,0.01840096077823171
EJ Liddell,0.011935327836887529
Egor Demin,0.012101317741913267
Elijah Harkless,0.019669918997129932
Eric Gordon,0.01660615548420768
Evan Mobley,0.04841735680903985
Franz Wagner,0.009098201030691165
GG Jackson II,0.018431650506606653
Gabe Vincent,0.006612712959683927
Gary Payton II,0.018909826054283742
Gary Trent Jr.,0.004563442821068108
Giannis Antetokounmpo,0.028802041605135012
Goga Bitadze,0.06253669127644187
Gradey Dick,0.004871300472120749
Grayson Allen,0.012137329397044563
Guerschon Yabusele,0.013353975077838733
Gui Santos,0.012777573280478394
Harrison Barnes,0.005530071855468316
Harrison Ingram,-0.01046531117921883
Herbert Jones,0.019903296911438578
Hugo Gonzalez,0.008761276424313739
Hunter Dickinson,0.017393413968253082
Hunter Tyson,0.01817905046279199
Immanuel Quickley,0.0054698144505282474
Isaac Jones,0.021690662967608212
Isaac Okoro,0.016050919645205077
Isaiah Collier,0.010099221675110947
Isaiah Hartenstein,0.03272326139363836
Isaiah Jackson,0.0659134948133373
Isaiah Joe,0.007932057153714776
Isaiah Livers,0.013338396321486506
Isaiah Stewart,0.056169498216122514
Ivica Zubac,0.03550212901846108
JD Davison,-0.007818910651140588
Ja Morant,0.008423023117913951
JaKobe Walter,0.010284723682228753
Jabari Smith Jr.,0.01946372794649285
Jabari Walker,0.015257082126917497
Jaden Hardy,0.0064957582596962965
Jaden McDaniels,0.026609444147693912
JaeSean Tate,0.0028588392400444667
Jahmir Young,0.00739341396825277
Jahmyl Telfort,0.0007783383745163994
Jaime Jaquez Jr.,0.009378303260758307
Jake LaRavia,0.014289883771754672
