Player,rate_per_min
AJ Green,0.023868215131621857
AJ Johnson,0.05876146303269057
Aaron Gordon,0.04557860324702437
Aaron Holiday,0.04265184847226971
Aaron Nesmith,0.03588612033469757
Aaron Wiggins,0.03837677348950539
Ace Bailey,0.07142424993968167
Adem Bona,0.05114845879489679
Ajay Mitchell,0.04912374661243723
Al Horford,0.029147153893488358
Alex Caruso,0.0394765760753342
Alexandre Sarr,0.07150800596857065
Alperen Sengun,0.07574459185861065
Amen Thompson,0.06083032243772186
Amir Coffey,0.022870386600876754
Andre Drummond,0.06598564164585255
Andre Jackson Jr.,0.022653594288440018
Andrew Nembhard,0.06955587821052057
Andrew Wiggins,0.056177033442356986
Anfernee Simons,0.052597587247880044
Anthony Black,0.06124686830404479
Anthony Davis,0.06393684247426672
Anthony Edwards,0.07934755571640897
Anthony Gill,0.021093944096390014
Ariel Hukporti,0.07293033593994486
Asa Newell,0.04343050725730741
Ausar Thompson,0.06006464088748263
Austin Reaves,0.09470715694263926
Ayo Dosunmu,0.0529438677087467
Bam Adebayo,0.06267046155933496
Baylor Scheierman,0.028517804905472906
Ben Saraf,0.06400267976544573
Ben Sheppard,0.02838053839189946
Bennedict Mathurin,0.0729787242034305
Bilal Coulibaly,0.05939589838215054
Bismack Biyombo,0.04083308396220268
Blake Wesley,0.07205847051356873
Bobby Portis,0.04394058077015007
Bogdan Bogdanovic,0.05435058450983128
Bones Hyland,0.07986111039538737
Bradley Beal,0.05817081843315874
Branden Carlson,0.03347763585275649
Brandin Podziemski,0.04599590453033826
Brandon Ingram,0.07998207652197611
Brandon Miller,0.05866367747788025
Brandon Williams,0.06946454505698653
Brice Sensabaugh,0.06393447939312241
Bronny James Jr.,0.07412017007103264
Brook Lopez,0.032701184716441546
Brooks Barnhizer,0.032502378491152104
Bruce Brown,0.046343641769440155
Bryce McGowens,0.033638473740240114
Bub Carrington,0.053441276871835953
Buddy Hield,0.04467149773964733
CJ McCollum,0.056542996683290464
Cade Cunningham,0.116528238632553
Caleb Love,0.05176467094377099
Caleb Martin,0.0414838579934753
Cam Christie,0.03196870377929685
Cam Spencer,0.042574244216319626
Cam Thomas,0.0725947481107504
Cam Whitmore,0.04957449498125084
Cameron Johnson,0.04828261193545201
Caris LeVert,0.05635904412711904
Carter Bryant,0.046719683124451496
Cason Wallace,0.03211169154401217
Cedric Coward,0.051227200140118445
Charles Bassey,0.0021030825936766548
Chaz Lanier,0.029370770674145074
Chet Holmgren,0.057321304214148196
Chris Boucher,0.031231027853925522
Chris Manon,0.03997287024435493
Chris Paul,0.05485504707542226
Chris Youngblood,0.020094214979426966
Christian Braun,0.03185194635396375
Christian Koloko,0.030030848600528334
Clint Capela,0.036092886987464955
Cody Williams,0.04232130861567957
Cole Anthony,0.07095781131210249
Collin Gillespie,0.049672774491925815
Collin Murray-Boyles,0.07366707493142337
Collin Sexton,0.08018515480567005
Cooper Flagg,0.07084348044789286
Corey Kispert,0.03669207709344472
Craig Porter Jr.,0.06452286371613467
DAngelo Russell,0.07204462859207697
DaRon Holmes II,0.06060897447940262
Daeqwon Plowden,0.03608158798980407
Dalen Terry,0.03624141936249976
Dalton Knecht,0.035785287557117816
Daniel Gafford,0.0516740837709108
Daniss Jenkins,0.05494491278143502
Danny Wolf,0.08064079054234649
Dario Saric,0.04474967970996081
David Jones-Garcia,0.04487469175641346
Davion Mitchell,0.05448843443842021
DayRon Sharpe,0.06853039225592332
DeAndre Hunter,0.046166476717098594
DeAndre Jordan,0.04905213762114574
DeMar DeRozan,0.04100849433283136
Dean Wade,0.021667251465452578
Deandre Ayton,0.06387136318172924
Deni Avdija,0.09414708210393136
Dennis Schroder,0.06082529473939261
