Opponent,opp_adj
BKN,0.04609915475901595
BOS,-0.24904143123683545
CHA,0.5309473420271832
CHI,-0.04467990837432284
CLE,-0.3250421338338155
DAL,-0.36109751066058265
DEN,-0.16535005323497293
DET,-0.3416806034092204
GSW,-0.4775209679531539
HOU,-0.4766516551113258
IND,-0.0066666848654349485
LAC,-0.7601419694039745
LAL,-0.14513857834169652
MEM,-0.1355292077000153
MIA,-0.1976231393034481
MIL,-0.08641207750493866
MIN,-0.5628695638969378
NOP,0.0782229262767239
NYK,-0.39369883536887795
OKC,-0.6682147944598525
ORL,-0.35481246585483456
PHI,-0.1426129179541509
PHX,-0.0105126233208727
POR,-0.127748753250887
SAC,0.034149471767192775
SAS,-0.21628638798899508
TOR,-0.07892421098265572
UTA,0.10596138913592988
WAS,0.24263764885444822
