Opponent,opp_adj
BKN,0.024135130670333193
BOS,-0.1256534649123009
CHA,0.06392867652933841
CHI,-0.0014658061482561806
CLE,-0.035370848549622795
DAL,-0.034737635236346036
DEN,0.010011138923700971
DET,-0.048114499938599675
GSW,-0.12025956992900459
HOU,-0.1496302185535547
IND,0.06848887515956997
LAC,-0.10219034220964647
LAL,0.03540718819525976
MEM,0.04679035273772342
MIA,-0.03738764155858371
MIL,-0.07041709140439938
MIN,-0.09342643485787684
NOP,0.09198190293775976
NYK,-0.09581315241290102
OKC,-0.18472736824721722
ORL,-0.12931798319097634
PHI,0.03279036823528785
PHX,0.04837016713343357
POR,0.055517240134751435
SAC,0.010219307277183134
SAS,-0.012352248036371942
TOR,-0.04211460937148017
UTA,0.07691055679226516
WAS,0.023652955450487366
