Opponent,opp_adj
BKN,-0.04778493605933673
BOS,-0.13041279629109376
CHA,0.005443988605474394
CHI,-0.042959263105874244
CLE,-0.046139908565858104
DAL,-0.043776700304538
DEN,-0.012367226112401477
DET,-0.003402923890869421
GSW,-0.07300293859424757
HOU,-0.0730351613173889
IND,-0.0970236280407514
LAC,0.0003781959802360043
LAL,-0.034788352984985886
MEM,-0.007652129344459655
MIA,-0.07127613662442955
MIL,-0.07986297675355421
MIN,-0.043787204258904026
NOP,0.0009365371285833588
NYK,-0.087368172099037
OKC,-0.10009387993106764
ORL,-0.05752805138403505
PHI,-0.07485614774606396
PHX,-0.023259629044974306
POR,0.015406533516810332
SAC,-0.05638999381027092
SAS,-0.02421010170498122
TOR,0.0404518888453941
UTA,0.024558387047521866
WAS,0.019954961635248503
