Opponent,opp_adj
BKN,0.13667865825081632
BOS,-0.4027918510992752
CHA,0.6215287902560609
CHI,0.026123299625177687
CLE,-0.33781037096467537
DAL,-0.43426475891058053
DEN,-0.21663792827547607
DET,-0.4518074694511877
GSW,-0.6223856648673598
HOU,-0.7367335263836302
IND,0.144210255320397
LAC,-0.9564790256624885
LAL,-0.1509535566710444
MEM,0.015417961733488052
MIA,-0.21130764729943208
MIL,-0.17968363458047099
MIN,-0.6934372618594797
NOP,0.2496782786911969
NYK,-0.5887368214924845
OKC,-0.8253538046400793
ORL,-0.5471836054222782
PHI,-0.05114962446314408
PHX,0.1011171414763638
POR,0.0023563895295162867
SAC,0.0226663304842079
SAS,-0.2573377442482807
TOR,0.03204874113818019
UTA,0.2354876422752306
WAS,0.43481490410453943
