Opponent,opp_adj
BKN,-0.05523895488020332
BOS,-0.01294044221615588
CHA,0.0761220064081982
CHI,-0.0022654212873311807
CLE,-0.028282135798449206
DAL,-0.03769203170172482
DEN,-0.00854280354214527
DET,-0.04753957684740902
GSW,-0.018155434793424192
HOU,-0.07661840489540757
IND,-0.05252583299964356
LAC,-0.09235342076968385
LAL,0.02526946529087409
MEM,0.0038613331645591105
MIA,-0.008196375493524628
MIL,0.024543029719067126
MIN,-0.05749630031847506
NOP,0.05354650251053656
NYK,-0.07019428426472824
OKC,-0.028703888992070794
ORL,-0.10049470045871972
PHI,-0.015517291645395245
PHX,0.021509317250875758
POR,-0.0636981630269421
SAC,0.05678888050083298
SAS,0.004476523728308993
TOR,-0.05462051063212012
UTA,0.04682400156884891
WAS,0.019771350175043157
