,Points,Assists,Rebounds,Three Pointers Made,Turnovers,Steals,Blocks
BKN,1.0020543703385707,1.0091214286457704,1.0011361393614446,0.9844860388523089,0.978664908202283,0.9454636754809047,1.0845208376351732
ATL,0.9801665085061859,0.9934181432070165,0.9882626255031768,0.9360224035514294,1.0877260607956525,1.031643413687269,0.9427161187010896
CLE,0.9804006647414549,0.9978594513649677,0.9895710250557185,0.9725330403351908,1.018654972895002,0.9912438426456487,0.9045136927306261
SAC,1.0419766986642895,1.0503593311470147,1.0073498660343714,1.0939302942316547,0.9645773818091805,1.0009350323521713,0.9867651285709833
BOS,0.9894768788943945,0.9512613272386435,0.995288210440223,0.9848624193947526,0.9332849515274562,0.8690019691980008,0.860314517779619
IND,1.0182314137123316,1.0202158118653462,1.016798887590914,0.9726657669544153,1.023494572159428,0.891416253581835,0.9471790132171404
NOP,1.008842548205765,1.028249131887396,0.9862270049249742,1.0609248807409621,0.9505027489454206,1.0348296383100068,1.0410837682099734
ORL,1.021501757303541,0.9930915542980785,1.022665539491441,0.9957897117952713,1.101596166288322,1.0271862013531132,1.023800553505496
TOR,1.0458856518902422,1.0340848039019854,1.0755025543679422,1.0271699425047516,1.1014297772323878,1.089551778491545,1.2108565792553734
DAL,1.0075387307540287,0.9973720462645568,1.0344113314985983,0.9640019173303636,0.9711286264663613,1.0405100090882944,1.0755397131822297
MIN,0.9696016921856339,0.9600570861590194,0.9838755448372255,0.9688872858448955,1.0217489624148095,0.9431660231556029,0.8438076541467235
PHX,0.9664595080338148,0.9727232463526562,0.9514483531126845,0.967560219990544,0.8821607252844624,1.01816011933245,0.9071950308753102
LAL,0.9830347926482448,0.9806869893829989,0.9855019709499084,1.0150087968734633,0.9973389122477478,1.0235076166146888,0.9453786602980399
DEN,0.9634618353486389,0.9773723379906282,0.9549881312483863,0.960867949197215,0.9239730078205907,1.014999588878333,0.943412756297004
DET,0.9878627877237078,0.9705205400573361,0.9961306409668681,0.9845650392193298,1.066622322139805,1.0213271545370588,1.001151906348097
MEM,1.0430388021312966,1.030676075864608,1.0398893198801098,1.0349241223134704,1.025636092929135,1.052720098308198,1.1155427889284664
UTA,1.0127205731682203,1.0242746163925507,0.969974705223957,1.0349281456040924,0.8749080978639132,1.0870011860305064,1.1227056996859242
CHI,1.0405730212592146,1.0453131208372337,1.0251406244453267,0.9635729154447544,0.9446243180510463,0.9931376261601529,1.0663043055169785
HOU,0.9465105350423821,0.9364848182340596,0.9378677582463277,0.9606731806494556,0.973865082783907,0.9441184944712029,1.1035760169449726
POR,1.037524730357888,1.023072416138569,1.0288935514339286,1.0073559889555945,1.0673392123366732,1.1513273709323744,1.0727660215675305
MIL,0.9948761146090626,0.9988775072613609,1.0217705071637289,0.9750142738207419,0.9610883325021506,0.9191304774313075,0.8534068145546684
SAS,0.9981344451302475,1.0274374142569984,0.9954484557966152,1.0079784059808,1.0077327043503717,1.0168061615099144,0.9287444861038963
GSW,0.9764521907014254,0.9759327551836308,0.9958590033799215,0.9500149500486835,1.0397249886302309,0.9787023555865979,1.0751873951941426
WAS,0.9946691325346152,0.9945083738294999,0.9988487825477879,0.9786292045290207,0.8819749793818447,1.06935340206907,1.0023440069555707
CHA,1.063555312733052,1.0632972313351967,1.008477847697342,1.0725097562393922,0.97089201898677,1.0991227919462883,1.0345721397073657
MIA,1.0746526097134126,1.0756204023696105,1.0750558212139532,1.146216601163005,1.0228488752844243,1.0222271118491302,1.027136638786855
OKC,0.8936637992967296,0.8901598382581035,0.9439237228907468,0.918997735625211,1.075861263775933,0.8420518198827968,0.9349752364665489
PHI,1.0164141882168245,1.0408649798975007,1.022084697049439,1.0665628271422958,1.062982725755707,0.9482017593980336,1.0713383861776113
NYK,0.9993527149614977,0.9902729930476093,0.9841282093325612,1.0344978363844173,1.05809818019523,0.9090291987255343,1.021346426571322
LAC,0.9729532482952196,0.9829971840872018,0.9829338758407277,1.0033159271222305,1.009636314603878,1.067958541334729,0.9037970998119155
