Player,Position,Team,Opponent,Minutes,Points,Assists,Rebounds,Three Pointers Made,Turnovers,Steals,Blocks,PRA,Scenario,PlayerID
Trae Young,PG,ATL,BKN,34.0,23.9,10.3,2.8,2.71,3.91,1.16,0.16,37.0,Default,20001989
Keaton Wallace,PG,ATL,BKN,7.0,2.3,1.0,0.6,0.41,0.44,0.24,0.09,3.9,Default,20002757
Vit Krejci,SG,ATL,BKN,2.5,0.9,0.3,0.3,0.19,0.11,0.08,0.04,1.4,Default,20002562
Dyson Daniels,SG,ATL,BKN,31.0,11.0,3.8,5.6,0.77,1.71,2.17,0.48,20.4,Default,20002878
Nickeil Alexander-Walker,SG,ATL,BKN,26.5,13.8,2.9,3.0,2.23,1.44,0.84,0.48,19.7,Default,20002285
Luke Kennard,SG,ATL,BKN,21.5,7.6,2.3,2.3,1.48,1.07,0.6,0.09,12.3,Default,20001840
Zaccharie Risacher,SF,ATL,BKN,21.5,11.3,1.1,3.0,1.58,0.9,0.6,0.39,15.4,Default,20003213
Jalen Johnson,PF,ATL,BKN,34.0,17.9,4.2,8.6,0.82,2.44,1.34,0.82,30.6,Default,20002657
Mouhamed Gueye,PF,ATL,BKN,9.0,3.5,0.5,2.1,0.42,0.35,0.34,0.52,6.1,Default,20003015
Kristaps Porzingis,C,ATL,BKN,26.5,17.5,2.0,6.6,1.88,1.44,0.67,1.46,26.1,Default,20001406
Onyeka Okongwu,C,ATL,BKN,26.5,13.1,2.0,7.9,0.66,1.12,0.8,1.19,23.0,Default,20002531
Egor Demin,PG,BKN,ATL,21.5,8.4,4.0,3.6,1.43,2.26,0.65,0.28,16.0,Default,20003455
Ben Saraf,SG,BKN,ATL,20.0,6.4,3.1,2.5,0.67,1.44,0.62,0.13,12.0,Default,20003475
Nolan Traore,PG,BKN,ATL,5.0,1.8,0.8,0.4,0.28,0.43,0.1,0.04,3.0,Default,20003473
Tyrese Martin,SF,BKN,ATL,18.0,7.8,2.2,2.8,1.49,1.05,0.56,0.1,12.9,Default,20002930
Cam Thomas,SG,BKN,ATL,31.0,24.3,4.4,3.3,2.56,2.58,0.72,0.17,32.1,Default,20002658
Drake Powell,SG,BKN,ATL,9.0,2.8,0.5,1.2,0.34,0.38,0.34,0.12,4.5,Default,20003467
Terance Mann,SF,BKN,ATL,24.0,10.2,2.2,3.4,1.39,0.86,0.82,0.23,15.8,Default,20002312
Jalen Wilson,PF,BKN,ATL,13.5,5.5,1.2,1.7,0.91,0.57,0.33,0.06,8.3,Default,20003084
Michael Porter Jr.,SF,BKN,ATL,31.0,19.7,2.9,6.0,2.87,1.34,0.7,0.42,28.7,Default,20001988
Noah Clowney,PF,BKN,ATL,20.0,7.8,1.1,3.8,1.54,0.97,0.53,0.34,12.7,Default,20003046
Danny Wolf,PF,BKN,ATL,3.0,1.4,0.3,0.9,0.11,0.33,0.08,0.13,2.6,Default,20003458
Nicolas Claxton,C,BKN,ATL,27.0,11.4,2.4,7.2,0.04,1.43,0.9,1.35,21.0,Default,20002292
DayRon Sharpe,C,BKN,ATL,17.0,7.1,1.7,5.7,0.23,1.29,0.74,0.75,14.5,Default,20002697
Payton Pritchard,PG,BOS,CLE,34.5,16.3,4.9,5.0,3.08,1.3,0.98,0.16,26.1,Default (Hedging Starters),20002551
Anfernee Simons,SG,BOS,CLE,28.0,14.9,3.4,2.7,2.72,1.48,0.57,0.1,20.9,Default (Hedging Starters),20002007
Derrick White,SG,BOS,CLE,34.5,19.2,6.1,4.4,3.75,1.56,0.98,0.82,29.6,Default (Hedging Starters),20001856
Jaylen Brown,SF,BOS,CLE,34.5,24.2,5.0,6.2,2.07,2.83,1.03,0.29,35.4,Default (Hedging Starters),20001672
Hugo Gonzalez,SF,BOS,CLE,8.0,2.1,0.4,1.0,0.19,0.28,0.27,0.12,3.5,Default (Hedging Starters),20003474
Baylor Scheierman,SG,BOS,CLE,4.5,1.2,0.4,0.7,0.29,0.13,0.14,0.03,2.3,Default (Hedging Starters),20003208
Sam Hauser,SF,BOS,CLE,24.5,9.7,1.1,3.6,2.85,0.48,0.64,0.24,14.4,Default (Hedging Starters),20002686
Josh Minott,SF,BOS,CLE,18.5,6.8,1.3,3.8,0.71,0.67,0.96,0.62,12.0,Default (Hedging Starters),20002913
Chris Boucher,PF,BOS,CLE,7.0,3.0,0.3,2.0,0.39,0.25,0.2,0.22,5.3,Default (Hedging Starters),20001886
Neemias Queta,C,BOS,CLE,23.0,8.1,1.5,7.7,0.02,1.05,0.65,1.16,17.3,Default (Hedging Starters),20002678
Luka Garza,C,BOS,CLE,14.0,6.8,0.8,3.7,0.84,0.67,0.36,0.16,11.4,Default (Hedging Starters),20002684
Xavier Tillman,C,BOS,CLE,9.0,2.7,0.6,2.1,0.32,0.34,0.51,0.25,5.4,Default (Hedging Starters),20002560
Josh Giddey,SG,CHI,SAC,32.0,19.1,7.8,8.0,1.63,3.47,1.02,0.54,35.0,Default,20002665
Tre Jones,PG,CHI,SAC,30.0,12.7,6.4,3.6,0.83,1.54,1.22,0.2,22.6,Default,20002566
Ayo Dosunmu,PG,CHI,SAC,26.0,13.2,3.1,2.8,1.69,1.35,0.84,0.28,19.1,Default,20002674
Isaac Okoro,SF,CHI,SAC,22.0,7.4,1.5,2.6,1.13,1.02,0.76,0.34,11.5,Default,20002530
Kevin Huerter,SG,CHI,SAC,25.0,12.9,2.6,3.0,2.59,1.0,0.84,0.34,18.6,Default,20001993
Dalen Terry,SF,CHI,SAC,2.0,0.7,0.2,0.3,0.09,0.1,0.08,0.03,1.2,Default,20002897
Julian Phillips,SF,CHI,SAC,7.0,2.5,0.3,1.0,0.36,0.23,0.24,0.12,3.8,Default,20003074
Matas Buzelis,SF,CHI,SAC,30.5,17.4,1.8,5.4,2.26,1.9,0.76,1.43,24.5,Default,20003217
Patrick Williams,SF,CHI,SAC,21.5,8.6,1.5,3.2,1.54,1.22,0.65,0.4,13.3,Default,20002529
Nikola Vucevic,C,CHI,SAC,32.0,20.3,3.9,10.5,1.88,1.91,0.84,0.62,34.7,Default,20000678
Jalen Smith,C,CHI,SAC,12.0,6.4,0.8,3.8,0.94,0.62,0.24,0.41,11.0,Default,20002535
Lonzo Ball,PG,CLE,BOS,23.0,7.6,4.6,3.2,1.9,1.48,0.93,0.26,15.4,Default,20001823
Craig Porter Jr.,PG,CLE,BOS,17.0,6.9,2.6,2.2,0.75,1.04,0.59,0.24,11.8,Default,20003133
Tyrese Proctor,PG,CLE,BOS,11.5,4.0,1.0,1.5,0.54,0.6,0.37,0.13,6.5,Default,20003480
Donovan Mitchell,SG,CLE,BOS,34.0,27.8,5.6,4.1,3.4,2.3,1.28,0.25,37.5,Default,20001844
DeAndre Hunter,SF,CLE,BOS,28.5,17.4,1.8,3.8,2.61,1.22,0.63,0.22,23.0,Default,20002268
Jaylon Tyson,SF,CLE,BOS,24.0,9.2,1.9,3.9,1.39,1.15,0.61,0.3,15.0,Default,20003233
Dean Wade,PF,CLE,BOS,23.0,6.0,1.2,3.9,1.59,0.46,0.66,0.33,11.1,Default,20002333
Evan Mobley,PF,CLE,BOS,34.0,19.2,3.9,9.0,1.87,1.96,0.76,1.25,32.1,Default,20002669
Jarrett Allen,C,CLE,BOS,28.5,13.7,1.9,8.5,0.04,1.24,0.59,0.57,24.1,Default,20001837
Larry Nance Jr.,C,CLE,BOS,16.5,6.6,1.2,3.8,0.71,0.56,0.66,0.24,11.6,Default,20001457
DAngelo Russell,PG,DAL,IND,26.0,14.6,6.2,2.8,2.08,1.74,0.82,0.35,23.6,Default,20001458
Brandon Williams,PG,DAL,IND,5.5,2.7,0.9,0.6,0.23,0.37,0.2,0.05,4.2,Default,20002854
Ryan Nembhard,PG,DAL,IND,4.0,1.5,0.5,0.5,0.15,0.22,0.13,0.04,2.5,Default,20003518
Jaden Hardy,SG,DAL,IND,13.0,7.1,1.1,1.5,1.18,0.86,0.33,0.07,9.7,Default,20002891
Cooper Flagg,PG,DAL,IND,33.0,15.6,3.4,6.3,1.21,2.39,0.85,0.53,25.2,Default,20003444
Klay Thompson,SG,DAL,IND,22.0,11.0,1.9,2.8,2.22,1.09,0.46,0.27,15.6,Default,20000486
Max Christie,SG,DAL,IND,29.5,10.9,2.2,3.5,2.1,1.17,0.72,0.33,16.6,Default,20002900
Naji Marshall,PF,DAL,IND,24.5,9.1,2.7,4.3,0.62,1.23,0.8,0.18,16.1,Default,20002600
Caleb Martin,SF,DAL,IND,9.0,2.8,0.7,1.4,0.26,0.41,0.28,0.13,4.9,Default,20002491
P.J. Washington,PF,DAL,IND,34.0,15.6,2.4,6.9,1.55,2.0,0.95,0.87,24.9,Default,20002279
Anthony Davis,C,DAL,IND,35.0,25.4,3.3,11.6,0.99,2.18,1.29,1.63,40.4,Default,20000468
Dwight Powell,C,DAL,IND,4.5,1.1,0.4,1.1,0.01,0.17,0.13,0.1,2.6,Default,20000539
Jamal Murray,PG,DEN,NOP,34.5,21.8,6.2,3.9,2.82,2.0,1.34,0.4,31.9,Default,20001666
Jalen Pickett,PG,DEN,NOP,1.5,0.5,0.2,0.2,0.1,0.06,0.04,0.01,0.9,Default,20003073
Bruce Brown,SF,DEN,NOP,17.0,5.7,1.8,2.6,0.51,0.8,0.67,0.21,10.1,Default,20002040
Christian Braun,SG,DEN,NOP,30.5,12.1,2.5,4.7,0.96,0.96,1.03,0.36,19.3,Default,20002868
Julian Strawther,SG,DEN,NOP,3.0,1.3,0.2,0.3,0.23,0.11,0.09,0.04,1.8,Default,20003071
Cameron Johnson,SF,DEN,NOP,27.5,12.4,2.5,4.0,2.12,1.23,0.88,0.34,18.9,Default,20002289
Tim Hardaway Jr.,SG,DEN,NOP,24.0,10.1,1.5,2.2,2.14,0.7,0.54,0.11,13.9,Default,20000788
Spencer Jones,SG,DEN,NOP,3.0,0.9,0.2,0.4,0.13,0.11,0.16,0.07,1.5,Default,20003396
Aaron Gordon,PF,DEN,NOP,31.0,17.2,3.3,6.1,1.71,1.47,0.7,0.63,26.6,Default,20000681
Peyton Watson,SF,DEN,NOP,18.5,6.2,1.3,2.5,0.57,0.65,0.63,0.9,10.0,Default,20002920
Hunter Tyson,PF,DEN,NOP,1.5,0.6,0.1,0.3,0.12,0.05,0.05,0.02,1.0,Default,20003075
Nikola Jokic,C,DEN,NOP,34.5,27.8,9.7,12.4,1.99,2.81,1.66,0.74,49.9,Default,20001441
Jonas Valanciunas,C,DEN,NOP,12.0,6.7,1.4,5.0,0.15,0.7,0.23,0.43,13.1,Default,20000455
Zeke Nnaji,C,DEN,NOP,1.5,0.5,0.1,0.3,0.05,0.05,0.05,0.1,0.9,Default,20002547
Cade Cunningham,PG,DET,ORL,36.0,25.0,8.5,5.7,2.16,4.62,1.13,0.5,39.2,Default,20002667
Marcus Sasser,SG,DET,ORL,12.0,5.5,1.9,1.1,0.94,0.78,0.46,0.09,8.5,Default,20003069
Daniss Jenkins,PG,DET,ORL,1.0,0.4,0.1,0.1,0.06,0.06,0.05,0.01,0.6,Default,20003269
Chaz Lanier,SG,DET,ORL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Default,20003482
Caris LeVert,SG,DET,ORL,22.0,10.7,2.7,2.7,1.34,1.28,0.83,0.24,16.0,Default,20001707
Duncan Robinson,SF,DET,ORL,28.5,10.2,2.2,2.5,2.34,1.19,0.6,0.16,14.9,Default,20002057
Ausar Thompson,SF,DET,ORL,29.0,12.4,2.7,6.2,0.31,1.95,1.89,0.85,21.3,Default,20003036
Ron Holland II,SF,DET,ORL,21.5,9.0,1.6,3.8,0.64,1.33,0.9,0.3,14.4,Default,20003214
Tobias Harris,SF,DET,ORL,32.0,14.6,2.1,5.6,1.51,1.24,0.96,0.58,22.3,Default,20000676
Javonte Green,SG,DET,ORL,9.0,3.1,0.4,1.5,0.39,0.29,0.44,0.21,5.0,Default,20002200
Jalen Duren,C,DET,ORL,27.0,13.5,2.2,9.8,0.01,1.97,0.65,1.09,25.5,Default,20002875
Isaiah Stewart,PF,DET,ORL,21.0,7.2,1.1,5.4,0.4,1.18,0.42,1.21,13.7,Default,20002541
Paul Reed,C,DET,ORL,1.0,0.4,0.1,0.3,0.02,0.06,0.06,0.06,0.8,Default,20002584
Reed Sheppard,SG,HOU,TOR,22.0,9.6,2.8,2.3,1.92,1.41,1.25,0.47,14.7,Default (Okogie & Adams Hedged Starting),20003191
Aaron Holiday,PG,HOU,TOR,3.5,1.6,0.3,0.3,0.34,0.16,0.13,0.04,2.3,Default (Okogie & Adams Hedged Starting),20002005
Amen Thompson,PG,HOU,TOR,34.5,16.7,5.8,6.4,0.74,2.14,1.78,1.25,28.9,Default (Okogie & Adams Hedged Starting),20003034
Josh Okogie,SF,HOU,TOR,23.0,8.2,1.3,2.9,0.88,0.87,1.26,0.62,12.4,Default (Okogie & Adams Hedged Starting),20002006
Kevin Durant,SF,HOU,TOR,35.0,26.3,3.7,5.5,2.2,2.77,0.84,0.99,35.5,Default (Okogie & Adams Hedged Starting),20000884
Jabari Smith Jr.,PF,HOU,TOR,32.5,14.7,1.4,6.5,2.01,1.2,0.7,0.7,22.7,Default (Okogie & Adams Hedged Starting),20002871
Tari Eason,SF,HOU,TOR,24.0,11.3,1.5,5.2,1.17,1.12,1.41,0.85,18.0,Default (Okogie & Adams Hedged Starting),20002883
Alperen Sengun,C,HOU,TOR,34.0,21.0,6.3,9.6,0.84,2.73,1.23,0.7,36.9,Default (Okogie & Adams Hedged Starting),20002666
Steven Adams,C,HOU,TOR,20.5,5.4,1.9,7.5,0.01,1.22,0.63,0.78,14.8,Default (Okogie & Adams Hedged Starting),20000875
Clint Capela,C,HOU,TOR,11.0,4.2,0.6,3.4,0.0,0.4,0.27,0.53,8.1,Default (Okogie & Adams Hedged Starting),20000549
RayJ Dennis,PG,IND,DAL,23.0,9.0,4.8,3.1,1.39,1.61,1.11,0.47,16.8,Default,20003293
Quenton Jackson,SG,IND,DAL,17.0,6.2,2.5,2.1,0.51,0.89,0.61,0.17,10.8,Default,20002950
Mac McClung,PG,IND,DAL,15.5,5.6,0.8,1.9,0.73,0.73,0.45,0.12,8.3,Default,20002741
Ben Sheppard,SG,IND,DAL,32.0,11.1,2.7,4.4,2.05,0.77,1.02,0.3,18.2,Default,20003070
Aaron Nesmith,SF,IND,DAL,32.0,15.2,1.8,4.7,2.57,1.1,0.93,0.54,21.7,Default,20002539
Pascal Siakam,PF,IND,DAL,35.0,25.1,6.0,7.6,1.79,2.16,0.97,0.48,38.8,Default,20001710
Jarace Walker,PF,IND,DAL,28.5,12.2,3.6,5.5,1.87,1.94,1.03,0.55,21.2,Default,20003035
Isaiah Jackson,C,IND,DAL,18.5,8.8,1.2,5.2,0.04,1.09,0.67,1.23,15.2,Default,20002673
Jay Huff,C,IND,DAL,18.0,9.1,1.1,3.2,1.51,0.81,0.39,0.93,13.5,Default,20002735
Tony Bradley,C,IND,DAL,20.5,9.0,1.2,6.2,0.15,1.02,0.5,0.86,16.3,Default,20001857
Chris Manon,SG,LAL,MIN,5.0,1.7,0.6,0.6,0.27,0.22,0.16,0.06,3.0,Default,20003601
Nick Smith Jr.,SG,LAL,MIN,16.0,6.9,1.8,1.5,1.24,0.89,0.26,0.09,10.2,Default,20003043
Bronny James Jr.,PG,LAL,MIN,16.0,5.3,2.4,1.7,0.72,1.21,0.7,0.2,9.4,Default,20003212
Austin Reaves,SG,LAL,MIN,38.0,29.5,8.1,5.7,3.1,4.03,1.08,0.28,43.2,Default,20002720
Dalton Knecht,SF,LAL,MIN,22.0,11.5,1.0,3.1,2.02,0.77,0.37,0.14,15.5,Default,20003194
Jake LaRavia,PF,LAL,MIN,32.0,10.6,3.4,4.7,1.56,1.64,1.24,0.37,18.7,Default,20002910
Rui Hachimura,PF,LAL,MIN,36.0,15.8,1.7,5.1,1.7,1.16,0.81,0.36,22.6,Default,20002275
Jarred Vanderbilt,PF,LAL,MIN,27.0,8.1,2.1,7.0,0.43,1.28,1.54,0.41,17.2,Default,20002015
Deandre Ayton,C,LAL,MIN,34.0,15.3,1.9,10.4,0.15,2.24,0.86,0.91,27.6,Default,20001990
Jaxson Hayes,PF,LAL,MIN,14.0,4.6,0.9,3.4,0.01,0.72,0.4,0.47,8.8,Default,20002274
Ja Morant,PG,MEM,PHX,31.0,25.7,7.7,3.9,1.67,2.92,1.21,0.24,37.3,Default,20002266
Javon Small,PG,MEM,PHX,17.0,6.4,3.4,1.8,1.02,1.44,0.56,0.15,11.6,Default,20003493
John Konchar,SF,MEM,PHX,10.5,2.5,0.8,2.4,0.43,0.31,0.45,0.26,5.7,Default,20002318
Kentavious Caldwell-Pope,SG,MEM,PHX,27.0,9.7,2.9,2.7,1.84,0.85,1.25,0.31,15.3,Default,20000811
Cam Spencer,PG,MEM,PHX,11.5,5.0,1.8,1.6,0.98,0.48,0.39,0.08,8.4,Default,20003254
Jaylen Wells,SF,MEM,PHX,27.0,10.9,1.8,3.5,2.05,0.9,0.71,0.13,16.2,Default,20003240
Vince Williams Jr.,SF,MEM,PHX,15.0,5.7,1.6,2.9,0.91,0.85,0.44,0.2,10.3,Default,20002927
Cedric Coward,SG,MEM,PHX,23.0,12.8,1.8,4.7,1.61,0.92,0.82,0.49,19.4,Default,20003477
PJ Hall,C,MEM,PHX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Default,20003258
GG Jackson II,PF,MEM,PHX,1.0,0.5,0.1,0.2,0.08,0.04,0.03,0.01,0.8,Default,20003064
Jaren Jackson Jr.,C,MEM,PHX,29.0,20.7,2.0,5.6,1.8,1.84,1.15,1.62,28.3,Default,20001991
Santi Aldama,PF,MEM,PHX,23.0,11.1,2.5,5.9,1.64,0.83,0.71,0.55,19.5,Default,20002709
Olivier-Maxence Prosper,PF,MEM,PHX,2.0,0.8,0.1,0.5,0.06,0.06,0.07,0.02,1.4,Default,20003067
Jock Landale,C,MEM,PHX,23.0,9.5,1.7,6.6,0.7,1.11,0.5,0.66,17.8,Default,20002172
Charles Bassey,C,MEM,PHX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Default,20002703
Mike Conley,PG,MIN,LAL,26.0,9.7,5.1,2.6,1.98,1.19,1.09,0.19,17.4,Default,20000635
Rob Dillingham,PG,MIN,LAL,8.5,4.0,1.7,0.9,0.49,0.86,0.31,0.06,6.6,Default,20003193
Bones Hyland,PG,MIN,LAL,13.5,6.9,2.1,1.4,1.28,1.07,0.61,0.15,10.4,Default,20002701
Donte DiVincenzo,SG,MIN,LAL,32.0,16.3,4.2,4.3,3.99,2.11,1.44,0.33,24.9,Default,20001987
Terrence Shannon Jr.,SG,MIN,LAL,19.5,8.7,1.6,2.7,0.78,0.84,0.57,0.19,13.0,Default,20003230
Jaden McDaniels,SF,MIN,LAL,33.5,15.5,2.1,5.5,1.51,1.27,1.3,0.94,23.0,Default,20002553
Jaylen Clark,SG,MIN,LAL,15.0,4.8,0.9,2.5,0.55,0.45,0.81,0.15,8.1,Default,20003086
Julius Randle,PF,MIN,LAL,35.0,24.4,5.5,7.0,2.31,2.71,0.75,0.29,36.9,Default,20000710
Naz Reid,C,MIN,LAL,26.0,14.1,1.9,5.8,1.91,1.49,0.83,0.81,21.7,Default,20002336
Rudy Gobert,C,MIN,LAL,31.0,12.1,1.3,10.5,0.01,1.08,0.72,1.17,23.8,Default,20000840
Jordan Poole,SG,NOP,DEN,32.0,17.1,4.4,3.0,2.72,2.33,1.14,0.39,24.5,Default,20002300
Jeremiah Fears,PG,NOP,DEN,18.0,7.8,1.7,2.0,0.59,1.51,0.75,0.08,11.5,Default,20003448
Jose Alvarado,PG,NOP,DEN,7.0,2.6,1.2,0.7,0.48,0.36,0.44,0.08,4.5,Default,20002732
Jordan Hawkins,SG,NOP,DEN,15.0,5.8,1.0,1.9,1.08,0.5,0.33,0.18,8.6,Default,20003041
Bryce McGowens,SG,NOP,DEN,1.5,0.5,0.1,0.2,0.05,0.06,0.04,0.01,0.8,Default,20002893
Herbert Jones,SF,NOP,DEN,30.5,10.9,3.0,3.9,1.5,1.1,1.61,0.56,17.8,Default,20002699
Micah Peavy,SG,NOP,DEN,1.5,0.5,0.1,0.3,0.06,0.05,0.05,0.03,0.9,Default,20003488
Trey Murphy III,SG,NOP,DEN,33.0,17.9,3.8,5.4,2.77,1.25,0.98,0.55,27.1,Default,20002700
Saddiq Bey,PF,NOP,DEN,25.0,9.7,1.4,4.3,1.52,0.63,0.64,0.16,15.3,Default,20002544
Zion Williamson,PF,NOP,DEN,31.0,23.7,5.8,7.2,0.14,2.68,1.26,0.83,36.6,Default,20002271
Derik Queen,C,NOP,DEN,18.0,6.4,1.1,4.2,0.12,1.06,0.52,0.48,11.7,Default,20003453
Yves Missi,C,NOP,DEN,23.0,7.2,1.5,7.4,0.01,0.85,0.59,1.0,16.1,Default,20003206
Karlo Matkovic,C,NOP,DEN,1.5,0.6,0.1,0.4,0.04,0.06,0.05,0.06,1.1,Default,20002931
DeAndre Jordan,C,NOP,DEN,3.0,0.9,0.2,1.2,0.0,0.14,0.07,0.09,2.4,Default,20000663
Jalen Suggs,SG,ORL,DET,22.0,10.0,2.7,2.9,1.4,1.74,1.3,0.42,15.7,Default,20002670
Tyus Jones,PG,ORL,DET,15.0,4.8,2.5,1.2,0.93,0.55,0.62,0.06,8.5,Default,20001430
Anthony Black,PG,ORL,DET,25.0,9.5,2.1,2.9,0.85,1.69,1.29,0.45,14.5,Default,20003038
Desmond Bane,SG,ORL,DET,33.0,18.7,3.4,4.9,2.2,2.24,1.05,0.34,27.0,Default,20002555
Franz Wagner,SF,ORL,DET,35.0,21.2,4.0,5.2,1.64,2.25,1.12,0.33,30.4,Default,20002654
Tristan Da Silva,PF,ORL,DET,19.0,7.0,1.2,2.8,1.12,0.69,0.5,0.24,11.0,Default,20003200
Noah Penda,SF,ORL,DET,4.0,1.1,0.3,0.6,0.16,0.2,0.14,0.06,2.0,Default,20003476
Paolo Banchero,PF,ORL,DET,36.0,25.0,4.5,7.4,1.7,2.9,0.94,0.65,36.9,Default,20002863
Jonathan Isaac,PF,ORL,DET,4.0,1.3,0.2,1.1,0.18,0.12,0.22,0.24,2.6,Default,20001830
Wendell Carter Jr.,C,ORL,DET,30.5,10.1,2.4,8.3,0.65,1.47,0.77,0.65,20.8,Default,20001996
Goga Bitadze,C,ORL,DET,16.5,4.8,1.8,5.0,0.1,0.81,0.58,1.01,11.6,Default,20002282
Collin Gillespie,PG,PHX,MEM,22.5,9.9,4.5,3.1,1.91,1.28,0.96,0.24,17.6,Default,20002937
Jordan Goodwin,SG,PHX,MEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Default,20002736
Jalen Green,SG,PHX,MEM,24.0,15.7,3.2,3.4,2.09,1.78,0.6,0.26,22.3,Default,20002668
Devin Booker,SG,PHX,MEM,36.0,27.7,7.8,4.0,2.42,3.52,0.92,0.24,39.5,Default,20001460
Grayson Allen,SG,PHX,MEM,33.0,16.0,4.0,4.0,3.34,1.42,1.09,0.41,23.9,Default,20001986
Isaiah Livers,PF,PHX,MEM,12.0,3.8,0.7,1.4,0.88,0.35,0.38,0.22,5.9,Default,20002693
Ryan Dunn,PF,PHX,MEM,22.0,9.1,1.2,4.7,1.32,0.64,0.74,0.77,15.0,Default,20003231
Royce ONeale,SF,PHX,MEM,27.0,10.6,2.5,5.2,3.1,1.08,0.92,0.45,18.3,Default,20001913
Rasheer Fleming,PF,PHX,MEM,1.0,0.4,0.1,0.2,0.08,0.06,0.03,0.05,0.7,Default,20003465
Nigel Hayes,PF,PHX,MEM,8.0,2.2,0.6,1.5,0.32,0.23,0.27,0.15,4.3,Default,20001888
Mark Williams,C,PHX,MEM,24.5,13.7,1.6,9.4,0.02,1.41,0.7,1.32,24.7,Default,20002884
Oso Ighodaro,C,PHX,MEM,19.0,5.5,1.3,3.9,0.02,0.81,0.52,0.52,10.8,Default,20003241
Nick Richards,C,PHX,MEM,10.0,5.1,0.3,3.7,0.01,0.69,0.17,0.44,9.0,Default,20002567
Khaman Maluach,C,PHX,MEM,1.0,0.3,0.1,0.3,0.01,0.06,0.01,0.07,0.7,Default,20003450
Jrue Holiday,PG,POR,UTA,31.0,15.3,6.1,4.4,2.6,1.95,1.26,0.54,25.9,Default,20000474
Blake Wesley,PG,POR,UTA,17.0,6.3,3.0,1.8,0.58,1.12,0.84,0.16,11.1,Default,20002886
Caleb Love,SG,POR,UTA,1.5,0.8,0.2,0.2,0.13,0.09,0.06,0.02,1.2,Default,20003503
Shaedon Sharpe,SG,POR,UTA,30.5,22.8,2.9,4.2,2.84,2.07,0.98,0.31,29.9,Default,20002874
Rayan Rupert,SG,POR,UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Default,20003048
Sidy Cissoko,SF,POR,UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Default,20003062
Toumani Camara,PF,POR,UTA,32.5,12.3,2.9,5.5,1.72,1.3,1.33,0.67,20.7,Default,20003085
Matisse Thybulle,SF,POR,UTA,15.0,5.0,1.3,1.8,0.91,0.4,1.47,0.4,8.0,Default,20002288
Deni Avdija,SF,POR,UTA,32.0,20.7,4.8,7.5,1.95,2.81,0.92,0.51,33.1,Default,20002534
Kris Murray,SF,POR,UTA,20.0,5.8,1.2,3.5,0.69,0.68,0.76,0.32,10.6,Default,20003054
Jerami Grant,PF,POR,UTA,27.5,17.3,1.8,3.1,2.46,1.09,0.76,0.67,22.2,Default,20000727
Donovan Clingan,C,POR,UTA,26.0,9.6,1.5,9.6,0.54,1.28,0.86,2.05,20.7,Default,20003190
Yang Hansen,C,POR,UTA,7.0,2.7,0.5,2.0,0.19,0.32,0.16,0.32,5.2,Default,20003478
Dennis Schroder,PG,SAC,CHI,29.0,13.3,5.0,2.9,1.66,1.71,0.91,0.22,21.2,Default,20000606
Russell Westbrook,PG,SAC,CHI,26.0,11.6,4.2,4.8,1.12,2.37,1.2,0.45,20.6,Default,20000877
Devin Carter,PG,SAC,CHI,10.0,3.1,0.9,2.1,0.41,0.4,0.53,0.19,6.0,Default,20003196
Malik Monk,SG,SAC,CHI,24.0,13.3,3.0,2.8,1.87,1.56,0.69,0.46,19.1,Default,20001833
Keon Ellis,SG,SAC,CHI,23.0,7.3,1.3,2.8,1.51,0.67,1.66,0.71,11.4,Default,20002905
Zach Lavine,SG,SAC,CHI,35.0,23.0,3.2,3.8,2.92,2.18,0.78,0.25,30.0,Default,20000804
DeMar DeRozan,PF,SAC,CHI,35.0,19.4,4.2,4.2,0.92,1.4,0.92,0.45,27.9,Default,20000456
Dylan Cardwell,C,SAC,CHI,4.5,1.5,0.2,0.9,0.16,0.17,0.13,0.14,2.6,Default,20003520
Domantas Sabonis,C,SAC,CHI,34.5,16.9,4.9,13.9,0.81,2.28,0.8,0.4,35.7,Default,20001683
Drew Eubanks,C,SAC,CHI,9.0,3.3,0.5,2.7,0.04,0.33,0.23,0.48,6.4,Default,20002045
Dario Saric,C,SAC,CHI,5.0,1.7,0.4,1.1,0.21,0.22,0.12,0.04,3.2,Default,20001597
Isaac Jones,PF,SAC,CHI,5.0,1.8,0.2,1.0,0.04,0.19,0.12,0.13,3.0,Default,20003267
Immanuel Quickley,PG,TOR,HOU,32.0,17.0,5.9,4.1,2.4,1.64,0.93,0.19,26.9,Default (Sandro & CMB Hedged Starting),20002550
Jamal Shead,PG,TOR,HOU,16.0,5.9,3.7,1.5,0.84,0.98,0.7,0.14,11.2,Default (Sandro & CMB Hedged Starting),20003246
RJ Barrett,SG,TOR,HOU,32.0,18.1,3.2,5.5,1.45,2.11,0.68,0.3,26.7,Default (Sandro & CMB Hedged Starting),20002272
