Team,Points,Assists,Rebounds,Three Pointers Made,Turnovers,Steals,Blocks,PRA
ATL,10.146327660163278,2.5297758405977584,3.813504912135049,1.163346616853466,1.3001559429915597,0.8625271897052719,0.4960794243807943,16.481672893316727
BKN,8.792120174473114,2.0065196418137594,3.4801638742815206,1.1717239411357059,1.1485495903142962,0.5678419143125025,0.3556891280420692,14.276880953351538
BOS,9.219285185668886,2.052880806233947,3.4613621522789604,1.3274344826085065,0.934778416263985,0.6129323930172826,0.3678069087109834,14.734579469766226
CHA,10.47361765218908,2.4280237223094363,4.080613989185418,1.3144658991801852,1.3773249607535323,0.6390113378684806,0.4296056166056166,16.98057038199895
CHI,10.008968414952186,2.4478685727164424,3.744423516533049,1.2260220869957177,1.1802672333301136,0.6420203483692326,0.4035347242345213,16.204122798544706
CLE,10.289458702196788,2.340391665921488,3.864966168887299,1.3506822856120897,1.1123201883811737,0.7053213210527886,0.4092423023040925,16.500530567230026
DAL,9.1685130161525,2.021645085164398,3.5572184928408106,0.9773829524473302,1.187218737390411,0.6383204333418927,0.4833788195590771,14.750270838682855
DEN,9.802127375613923,2.412682842195174,3.6008808456117873,1.0800082746102924,1.008812326500107,0.6538523649370062,0.3614883621610079,15.816646647448216
DET,9.711267331938776,2.230584227792828,3.806577277871129,0.8990950241761255,1.1738697804144806,0.7058803424665364,0.48203616702673663,15.746875392933484
GSW,9.330361600798863,2.2919883243077157,3.4404770134808156,1.3443267273495412,1.1037795252909322,0.7507909897453624,0.3166947036909014,15.060076045627378
HOU,10.076823511496878,2.1894455442194136,4.116075326125578,0.9218286719794255,1.1817053279867349,0.782929631321591,0.5301756256027613,16.382058440349898
IND,9.200548081714,2.1143228430223946,3.618959318062457,0.9913866332700414,1.0841199046580212,0.655011783083532,0.4123878587107287,14.934125156546683
LAC,9.153697246436971,2.112422858724228,3.525374290853743,1.0877899543378995,1.1287043033070432,0.7112731423827314,0.44198976061989753,14.79236197592362
LAL,10.114611546685673,2.3216559752910433,3.793874237744516,1.1164158153163855,1.2148839787756396,0.7563601805654551,0.3389710540904411,16.23030411023996
MEM,9.46625181220029,2.234930299988848,3.6583205085312818,1.160364112858258,1.1129383294301327,0.6574064904650385,0.431252481320397,15.353384632541541
MIA,11.181905054225497,2.6294250051156127,4.103963576836505,1.26534131368938,1.26385328422345,0.803842848373235,0.3887122979332924,17.91216697360344
MIL,10.10984107182306,2.2591958728054786,3.749869400803088,1.2630430262627839,1.13767117591257,0.6717509388847739,0.4532443179603134,16.111495328317286
MIN,10.563430478046476,2.4003144654088047,3.9049723920040162,1.304712109132784,1.1858096377004161,0.7622366905837541,0.4281887973543567,16.869727168039685
NOP,9.359057887008271,2.118740500296262,3.6297112090063637,0.9498434964062139,1.1580959373470388,0.7589666898523845,0.3704644872092125,15.107365329623617
NYK,9.99369264947358,2.3185324704594477,3.768434270259828,1.2268368266846967,1.0539040213786661,0.6547290640394087,0.3273891625615763,16.079553430567625
OKC,9.422625086883903,2.06612617098752,3.4871619308456006,1.1439407425850425,0.907689458778127,0.8105941302791696,0.48387372527050715,14.974581141784153
ORL,9.999104084321475,2.2448346822259864,3.7721826965305225,1.0727775895601983,1.2232567915176613,0.6987137210615473,0.42066905075600725,16.014837819185644
PHI,10.63353528153956,2.282497822127188,4.012182228557852,1.213150787993981,1.2764857052348144,0.8049182307753227,0.4192145798685357,16.927362002059077
PHX,9.297244832519363,2.154072320063144,3.504654432440432,1.2335870208672488,1.0778744265206452,0.6437727541808494,0.3758959844112279,14.95261580583099
POR,9.74438155412224,2.0945373173621165,3.756889415412517,1.1876612112968568,1.211067672911822,0.676359674140377,0.4758600617202697,15.589498778757696
SAC,9.565967596281542,2.241065604249668,3.5027824701195214,0.9824292164674634,1.2023374236387783,0.6527798140770251,0.36034719787516595,15.30691102257636
SAS,10.346556864456081,2.416452152414194,3.8729693862710874,1.1791159467713785,1.1542328388598024,0.7237060063990692,0.5065603184991274,16.638527123327517
TOR,10.098998479835464,2.5270171987242542,3.7889117410355,1.0536922113922922,1.2319470028912933,0.6782014367045218,0.37510074815940864,16.413581626874127
UTA,9.402587519025873,2.225569392555694,3.755552788155528,1.2318899958489,1.3117701674277016,0.5831692265116922,0.3069659609796596,15.37942299709423
WAS,7.99927930813581,1.8223027439675423,3.1304412235746315,1.0040849882553917,1.0419070307495193,0.5038771887678838,0.36995582425795426,12.952427663890669
