Opponent,opp_adj
BKN,0.059076813335580756
BOS,-0.03297368934392643
CHA,0.02561863780615316
CHI,0.058711078774632455
CLE,0.016623841799282228
DAL,-0.03669004261358802
DEN,-0.06775288475698225
DET,-0.06214590367530168
GSW,-0.02565400518336543
HOU,-0.10754117558464069
IND,0.07715955729254349
LAC,-0.0968108207594498
LAL,-0.0533815023204228
MEM,0.0930459414490078
MIA,0.03467269514175853
MIL,-0.03350868531164418
MIN,-0.02698598618070869
NOP,0.07856770466242012
NYK,-0.09141472376544825
OKC,0.022921563682611557
ORL,-0.0662001881178326
PHI,0.05815599026301078
PHX,0.05613267832172745
POR,0.0772116649720967
SAC,-0.014933699490950445
SAS,-0.03183778720522984
TOR,0.1406676182741407
UTA,0.03959032005453414
WAS,0.16445713579304524
