Player,rate_per_min
AJ Green,0.49381827873976564
AJ Johnson,0.6226560603585055
Aaron Gordon,0.7994955713829265
Aaron Holiday,0.6681968564593873
Aaron Nesmith,0.6917387357407239
Aaron Wiggins,0.7701230124282172
Ace Bailey,0.6807583836314911
Adem Bona,0.5977969315667134
Ajay Mitchell,0.7740633882428755
Al Horford,0.6365791244762914
Alex Caruso,0.6473802060149634
Alexandre Sarr,0.8978751908079025
Alperen Sengun,1.0550708336163388
Amen Thompson,0.8257693481109647
Amir Coffey,0.4854513467696499
Andre Drummond,0.870816395460922
Andre Jackson Jr.,0.5080908977964872
Andrew Nembhard,0.7903906968000924
Andrew Wiggins,0.7819472787040265
Anfernee Simons,0.7534785903592536
Anthony Black,0.5918380421933619
Anthony Davis,1.1548985116928148
Anthony Edwards,1.0314513325028767
Anthony Gill,0.5953274754668179
Ariel Hukporti,0.5238548060305902
Asa Newell,0.5372784623867269
Ausar Thompson,0.7757622439556529
Austin Reaves,1.0132894035785385
Ayo Dosunmu,0.7045461007003859
Bam Adebayo,0.9778046272565525
Baylor Scheierman,0.5233295404246379
Ben Saraf,0.5822044925185267
Ben Sheppard,0.5852502738002208
Bennedict Mathurin,0.9045692246526604
Bilal Coulibaly,0.6778679441153348
Bismack Biyombo,0.5943521764526588
Blake Wesley,0.6166427804228708
Bobby Portis,0.8955290208894106
Bogdan Bogdanovic,0.6573036246830352
Bones Hyland,0.7528406911362098
Bradley Beal,0.7143707680780335
Branden Carlson,0.6300588526114742
Brandin Podziemski,0.7350654131435593
Brandon Ingram,0.9125468188905881
Brandon Miller,0.7902266900686185
Brandon Williams,0.82422391893462
Brice Sensabaugh,0.7845787729096101
Bronny James Jr.,0.5596186852314656
Brook Lopez,0.6557735291468582
Brooks Barnhizer,0.4811332672434869
Bruce Brown,0.5838363501525918
Bryce McGowens,0.5729792883700326
Bub Carrington,0.6366430407166146
Buddy Hield,0.7014302730406291
CJ McCollum,0.8379690798444221
Cade Cunningham,1.1370416853859049
Caleb Love,0.7357094608651931
Caleb Martin,0.5461394494168408
Cam Christie,0.747673053878714
Cam Spencer,0.686123561760394
Cam Thomas,1.0063290762523862
Cam Whitmore,0.8407111094511989
Cameron Johnson,0.6893223718107793
Caris LeVert,0.7481277575381372
Carter Bryant,0.5843995549894823
Cason Wallace,0.5733340774414455
Cedric Coward,0.7581775236699659
Charles Bassey,0.7864043482458843
Chaz Lanier,0.5242704889434608
Chet Holmgren,0.8969369272187765
Chris Boucher,0.788874757382233
Chris Manon,0.599110847597674
Chris Paul,0.7192600603185738
