Player,rate_per_min
AJ Green,0.09822106910493683
AJ Johnson,0.11754054841324346
Aaron Gordon,0.17935807887773705
Aaron Holiday,0.06657260183689899
Aaron Nesmith,0.14991875994408263
Aaron Wiggins,0.15629662299796052
Ace Bailey,0.17254535598275908
Adem Bona,0.25723044009453006
Ajay Mitchell,0.12394510852409363
Al Horford,0.2229754013987843
Alex Caruso,0.14058808488013244
Alexandre Sarr,0.2649172605417423
Alperen Sengun,0.2617520932086081
Amen Thompson,0.1923834027236634
Amir Coffey,0.08621995418783619
Andre Drummond,0.4578373659871894
Andre Jackson Jr.,0.1428729564374533
Andrew Nembhard,0.10423295543147387
Andrew Wiggins,0.14331838361565566
Anfernee Simons,0.08987024614608782
Anthony Black,0.11865108492615382
Anthony Davis,0.32357918044877637
Anthony Edwards,0.15348707252881355
Anthony Gill,0.15321336701179775
Ariel Hukporti,0.2586731811397932
Asa Newell,0.19153654769988582
Ausar Thompson,0.21913170809664348
Austin Reaves,0.13029634602690288
Ayo Dosunmu,0.10212181944554126
Bam Adebayo,0.2782947270581276
Baylor Scheierman,0.1753836506692481
Ben Saraf,0.1299547451553672
Ben Sheppard,0.15250005007667086
Bennedict Mathurin,0.17452710407911465
Bilal Coulibaly,0.15802236371425316
Bismack Biyombo,0.25987421224390866
Blake Wesley,0.10015997993545635
Bobby Portis,0.29996775584824087
Bogdan Bogdanovic,0.10680030574536216
Bones Hyland,0.10068227712231029
Bradley Beal,0.09969855800257581
Branden Carlson,0.1985672004708392
Brandin Podziemski,0.1864873089180437
Brandon Ingram,0.1642427019493293
Brandon Miller,0.12813305625434349
Brandon Williams,0.11802315689252213
Brice Sensabaugh,0.13565163819608184
Bronny James Jr.,0.09722602368656148
Brook Lopez,0.16426467790683216
Brooks Barnhizer,0.19015257354844647
Bruce Brown,0.14947068461057125
Bryce McGowens,0.12067278028596669
Bub Carrington,0.14556231968635658
Buddy Hield,0.13590441287033075
CJ McCollum,0.12427901958899783
Cade Cunningham,0.15213290583144104
Caleb Love,0.14753454892710025
Caleb Martin,0.148317721300852
Cam Christie,0.1584514972068261
Cam Spencer,0.1389258098940506
Cam Thomas,0.10286416703125208
Cam Whitmore,0.19723948070712888
Cameron Johnson,0.14072039020603935
Caris LeVert,0.12132878131593369
Carter Bryant,0.2050594292047716
Cason Wallace,0.12676915565083943
Cedric Coward,0.20201732291694455
Charles Bassey,0.27296384885148334
Chaz Lanier,0.08282340602015482
Chet Holmgren,0.26222411125297573
Chris Boucher,0.2734382176637009
Chris Manon,0.09514038192888263
Chris Paul,0.11152258037511134
Chris Youngblood,0.07439778287349173
Christian Braun,0.15102999636284498
Christian Koloko,0.23826062490282532
Clint Capela,0.30428569511556663
Cody Williams,0.09063103965327717
Cole Anthony,0.15232900993829296
Collin Gillespie,0.12911900190416453
Collin Murray-Boyles,0.21033305175296585
Collin Sexton,0.09006701572864036
Cooper Flagg,0.19990668763978783
Corey Kispert,0.11579646816618326
Craig Porter Jr.,0.12733360178343986
DAngelo Russell,0.10635144956325368
DaRon Holmes II,0.05481749450323008
Daeqwon Plowden,0.11676027604258601
Dalen Terry,0.13013577252284578
Dalton Knecht,0.13210697384686554
Daniel Gafford,0.3232450968191956
Daniss Jenkins,0.10099086146658395
Danny Wolf,0.26819728923496927
Dario Saric,0.25212325277180847
David Jones-Garcia,0.05628297820278547
Davion Mitchell,0.08508833746393271
DayRon Sharpe,0.3531266570383979
DeAndre Hunter,0.1389746423974377
DeAndre Jordan,0.3975070814946278
DeMar DeRozan,0.11630199452389016
Dean Wade,0.18101171822902112
Deandre Ayton,0.30933543397070423
Deni Avdija,0.22285917580849807
Dennis Schroder,0.09665177971093825
Dereck Lively II,0.29328451458780136
Derik Queen,0.2759029819016049
Derrick Jones Jr.,0.12635703739585133
Derrick White,0.1331136464910484
Desmond Bane,0.15028872891766565
Devin Booker,0.10733936339834624
Devin Carter,0.18372091484902178
Devin Vassell,0.11856765687122474
Dillon Brooks,0.11270853004823232
Domantas Sabonis,0.39040876017043896
Dominick Barlow,0.22359442246714736
Donovan Clingan,0.37229260735130115
Donovan Mitchell,0.12810421839379754
Donte DiVincenzo,0.136507901671148
Doug McDermott,0.01749369755067778
Drake Powell,0.12198121896139702
Draymond Green,0.2121415797753842
Drew Eubanks,0.2998670366421134
Dru Smith,0.11232048185935699
Duncan Robinson,0.08845849197354663
Duop Reath,0.18468088375080266
Dwight Powell,0.2305902191491366
Dylan Cardwell,0.1898569735575127
Dylan Harper,0.14627635908401088
Dyson Daniels,0.1771546224235425
EJ Liddell,0.15370235635265775
Egor Demin,0.15672746362828183
Elijah Harkless,0.09289049670193635
Eric Gordon,0.06135250022300611
Evan Mobley,0.2811515044918462
Franz Wagner,0.15412609482853087
GG Jackson II,0.1893945836482955
Gabe Vincent,0.05899348443630303
Gary Payton II,0.17728064647655908
Gary Trent Jr.,0.08823046297623655
